id,text,class
1,i took adderall to write my paper and now i'm focused on everything except my paper,0
2,"don't worry gang, i took enough xanax so in a few minutes i won't even care!",0
3,way too much adderall <hashtag> tweak,0
4,tramadol and coffee for breakfast because i like to mix my chemicals before i drive.,0
5,exam season is really effecting me and my mental health. i cannot believe how many times iíve cried and had panic attacks today. going to take some of my dogís diazepam (they are for humans but the vets have him on it for his separation anxiety) and go to bed. <repeat>,0
6,this finna be a long as night and day tomorrow . im have to pop <number> vyvanse,0
7,jack daniels. <repeat> cap of valium mixed with antidepressants ????,0
8,"when i gave juli <number> mg of instant release adderall and she texted me at <number> pm the next day saying ""when does this wear off""",0
9,waay <elong> too much codeine and adderal,0
10,high on adderall means fresh beats finally,0
11,i sip codeine then take oxycontin,0
12,haven't slept in the last <number> hours and i have nothing but coffee &amp; adderall in my system but i just got a hot n ready and a box of wine so ??,0
13,i take adderall once a day usually but i've taken <number> mg in one day this past week,0
14,"i need vyvanse still, so, get to work twitter!",0
15,in the mood to consume loads of xanax,0
16,do you ever just like take an adderall in hopes it'll save you from being too drunk but you just end up a crackhead instead,0
17,<user> <user> <user> <user> i beg to disagree. it took a lot of diazepam to get to leeds x,0
18,klonopin and alcohol. itís a winning combination!,0
19,"<user> fuck you, i need the money to sustain my adderall addiction",0
20,thankful to have bothers who are prescribed to vyvanse,0
21,i took adderall last night and on my life the only time i stopped talking for <number> hours straight was when people were pouring vodka shots from a syringe into my mouth,0
22,<user> on lsd and a whole lotta adderall,0
23,<user> i'm bored. so i just took <number> mg klonopin,0
24,i havent snorted adderall in days man,0
25,someone deliver me adderall or a really smart person to do my paper so i can stop complaining tysm,0
26,whose got that adderall thoo,0
27,<user> <user> <user> yeah it says i donít play anymore and if i did i do think the xbox is good but ps <allcaps><number> controllers are <number> times better so iíd never buy either i prefer valium beer and betting now ??????,0
28,did i ever tell y'all about the time i took way too much ativan and wrote a marlana fic and had no recollection of doing so,0
29,i need adderall so if anyone would like to help ya girl out pls and thx u,0
30,<number> adderall i'm rollin ! <repeat>,0
31,i've taken a vyvanse and drank two monsters. <repeat>still recovering from the weekend,0
32,ì<user>:i don't see why people like taking adderall it mkes me ovrly focused lke on some prfectionist type of ish .îthe high is amazing,0
33,she went to sleep off the dope &amp; said she ain't get a good sleep doe ?? i got my best sleep ever off the dope &amp; seroquel ??,0
34,<user> i lied about being claustrophobic for no reason and they gave me a clonazepam shot so it was awesome,0
35,"<user> i could say the same to you but vyvanse bro, i just got off an intense study session.",0
36,<user> i'm too gone off that valium right nooow. <neutralface>,0
37,i took adderall to try and get my resume done but instead im too excited for my friends visiting and keep looking up things to do cle,0
38,binged three times already today so strict adderall and coke diet starting now,0
39,<user> already texting the adderall plug about to take <number> and listen to the whole thing at once with noise cancelling headphones when it comes out,0
40,i have ativan if anyone needs any. <hashtag>  pyeong chang<number> <hashtag>  go canada go ????,0
41,"<user> aagh, i just left there about <number> min ago. having a brew in starbucks nr dlr and then heading hotel for valium lol!",0
42,<user> iím just about to find out what happens when you mix valium with vodka.,0
43,this is all very interesting. my mom committed suicide using opiates and benzos. i'm going into rehab for xanax addiction later this month and they'll be using suboxone and naloxone to help me get through the withdrawal. makes me wonder if i'm trading one addiction for another.,0
44,i'm smoking xanax today for the first time <number> prayer fir my wretched soul please,0
45,i got so much morphine i'm high as fuck,0
46,i'll never forget the time drunk me decided it was a good idea to give my very drunk friend clonazepam so she could sleep,0
47,"you know yours buzzed on adderall when you look up its chemical salt-features and bioplasm structures on wikipedia, for a few half hours.",0
48,you ever take adderall instead of sleeping cause same,0
49,catch me chugging four loko and poppin xanax during figure skating at the winter olympics,0
50,i just railed like <number> adderall holy shit,0
51,how much valium gets u high without psychosis,0
52,anyone know of a website that sells diazepam that actually accepts paypal? sick of hearing the ìhaving trouble with our card systemî shit ??,0
53,"took a xanax once tryna forget someone and here i am now ""xanax queen""  ????",0
54,why do people still hmu for xanax ion sell zanny no more!,0
55,if anyone needs adderall next semester lmk lmfao,0
56,"<user> i wish it was ""baloney"" that big pharma got me hooked on instead of oxycontin. i can cold turkey baloney for ham or pastrami.",0
57,"someone asked me how i survived senior year. <repeat>i simply answered, adderall my friend, adderall??",0
58,i've got vyvanse (adderall) and extra strength dayquil in my system at the same time. feels like my heart is going at <number>bpm or so. i should wash this down with some <user>. ??,0
59,<user> i got the adderall for you papi,0
60,i wish vyvanse had an off switch for when ur done studying,0
61,<user> right i feel you. i took an adderall so i can focus on painting all day and i've been up since <number>pm tuesday. ????,0
62,hook me up with some adderall so i can finish all this damn homework,0
